1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
0.004777	0.007447	0.013794	0.023200	0.003690	0.022558	0.008585	0.001584	0.029299	0.021360	0.023481	0.022276	0.014467	0.014467	0.025867	0.018361	0.008952	0.013504	0.031362	0.028115
0.000836	0.001592	0.002982	0.002550	0.004727	0.001850	0.001084	0.000528	0.005022	0.011911	0.000870	0.002652	0.001460	0.001460	0.000430	0.004048	0.005100	0.007717	0.019312	0.009117
0.000000	0.002301	0.003141	0.004547	0.001088	0.001060	0.000865	0.008095	0.003830	0.002000	0.000000	0.001557	0.003393	0.003393	0.002600	0.006497	0.004602	0.002727	0.002465	0.003018
0.000000	0.002509	0.003614	0.002256	0.001367	0.000560	0.000000	0.000000	0.001542	0.001628	0.000000	0.000341	0.001778	0.001778	0.000000	0.002381	0.004015	0.000889	0.001801	0.000833
0.000000	0.000341	0.001676	0.001456	0.001916	0.000000	0.000000	0.000000	0.001002	0.001149	0.000000	0.000000	0.001324	0.001324	0.000000	0.002560	0.001729	0.003093	0.001234	0.000563
0.001237	0.001891	0.000924	0.000447	0.000000	0.000000	0.000000	0.000000	0.000793	0.000527	0.000289	0.002213	0.000000	0.000000	0.000000	0.001150	0.000758	0.004527	0.000000	0.000000
0.001224	0.000962	0.001376	0.000578	0.000000	0.000000	0.000000	0.000542	0.000725	0.001719	0.000312	0.000792	0.000000	0.000000	0.000000	0.000663	0.000663	0.001640	0.000000	0.000000
0.000000	0.000295	0.000897	0.000375	0.000000	0.000000	0.000000	0.000477	0.001010	0.002355	0.000000	0.001468	0.000000	0.000000	0.000000	0.000798	0.000493	0.001348	0.000000	0.000000
0.000000	0.000328	0.000425	0.000251	0.000000	0.000000	0.000000	0.000309	0.001010	0.002031	0.000000	0.000335	0.000000	0.000000	0.000000	0.000798	0.000493	0.001348	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
