Depth Macropore_Share r_Min r_Mean r_Max mclass
-0.1 0.0080 0.00200 0.00400 0.00500 1
-0.2 0.0060 0.00300 0.00400 0.00500 1
-0.6 0.0030 0.00300 0.00500 0.00600 1
-0.8 0.0100 0.00300 0.00600 0.01000 1
-1.0 0.0020 0.00200 0.00400 0.00500 1
-1.2 0.0020 0.00200 0.00400 0.00500 1
-2.1 0.0020 0.00200 0.00400 0.00500 1
-0.1 0.0060 0.00075 0.00150 0.00185 2
-0.2 0.0040 0.00075 0.00150 0.00185 2
-0.6 0.0010 0.00075 0.00100 0.00120 2
-0.8 0.0030 0.00075 0.00100 0.00120 2
-2.1 0.0000 0.00075 0.00100 0.00120 2
