no ks ts tr alpha n rho z name
1 2.90E-05 0.51 0.03 0.66 1.2 1.50E+03 -0.3 topwollef_redks
2 3.70E-05 0.43 0.11 3.8 1.2 1.59E+03 -2.1 lowwollef
3 9.98E-07 0.491 0.041 0.4818 1.2747 1.5E+03 -2.1 meanwollef_redks1
4 9.98E-07 0.4979 0.041 1.3137 1.228 1.5E+03 -2.1 menwollef_redks2
5 9.98E-07 0.4859 0.041 0.1197 1.42144 1.5E+03 -2.1 meanwollef_redks3
6 1.888889e-06 0.434 0.027 9.0 1.220 1.50E+03 -2.3 loam
7 3.666666e-06 0.486 0.015 4.8 1.211 1.50E+03 -2.3 siltLoam
8 1.194446e-06 0.330 0.068 3.59 1.250 1.50E+03 -2.3 sandyClayLoam
9 6.388889e-07 0.390 0.075 3.9 1.194 1.50E+03 -2.3 clayLoam
10 4.166667e-07 0.432 0.040 3.1 1.151 1.50E+03 -2.3 siltyClayLoam
11 2.907e-06 0.5751 0.0281 2.016 1.26763 1.50E+03 -2.3 newwolleftopsoil
