no ks ts tr alpha n rho z type
1 5.833333e-05 0.417 0.020 13.8 1.592 1.50E+03 -2.3 sand
2 1.696759e-05 0.401 0.035 11.5 1.474 1.50E+03 -2.3 loamySand
3 7.194444e-06 0.412 0.041 6.80 1.322 1.50E+03 -2.3 sandyLoam
4 1.888889e-06 0.434 0.027 9.0 1.220 1.50E+03 -2.3 loam
5 3.666666e-06 0.486 0.015 4.8 1.211 1.50E+03 -2.3 siltLoam
6 1.194446e-06 0.330 0.068 3.59 1.250 1.50E+03 -2.3 sandyClayLoam
7 6.388889e-07 0.390 0.075 3.9 1.194 1.50E+03 -2.3 clayLoam
8 4.166667e-07 0.432 0.040 3.1 1.151 1.50E+03 -2.3 siltyClayLoam
9 3.333333e-07 0.321 0.109 3.40 1.168 1.50E+03 -2.3 sandyClay
10 2.50004e-07 0.423 0.056 2.90 1.127 1.50E+03 -2.3 siltyClay
11 1.66665e-07 0.385 0.090 2.7 1.131 1.50E+03 -2.3 clay
12 5.833333e-05 0.336 0.071 0.015 15.0 1.50E+03 -2.3 g63
13 5.833333e-05 0.336 0.071 0.015 15.0 1.50E+03 -2.3 g63
